1614470400000,337.97,392.58,337.97,392.58
1615075200000,397.86,397.86,369.65,390.0
1615420800000,413.33,446.27,408.24,408.24
1615766400000,404.96,415.62,373.83,386.19
1617148800000,350.46,376.98,344.03,376.98
1617408000000,381.15,418.77,381.15,418.77
1617753600000,379.45,404.02,379.45,383.93
1618444800000,370.51,428.39,370.51,428.39
1618790400000,467.73,467.73,381.58,381.58
1619481600000,343.7,404.22,316.44,404.22
1619740800000,437.37,461.48,437.37,438.43
1620000000000,444.08,503.03,444.08,483.34
1620345600000,516.13,516.13,448.65,451.53
1620691200000,445.42,465.44,434.65,434.65
1621036800000,458.95,595.76,458.95,595.76
1621382400000,514.65,631.26,514.65,631.26
1622073600000,296.54,413.81,296.54,413.81
1628294400000,309.96,373.68,309.96,370.16
1628640000000,384.82,385.21,360.36,385.21
1628985600000,404.06,426.8,391.97,414.43
1629331200000,410.32,414.33,382.09,383.33
1629676800000,398.04,407.28,398.04,402.02
1630022400000,407.99,407.99,356.08,356.08
1630368000000,372.81,372.81,358.98,358.98
1630627200000,393.79,411.57,393.79,400.09
1630972800000,394.77,416.53,394.77,410.44
1631664000000,327.04,383.06,327.04,383.06
1632009600000,411.81,411.81,355.39,355.39
1635292800000,325.0,329.16,308.69,329.16
